Id,LessonId,Gender,Number,Word,Meaning
328,2,,,أَبَتِ,O father
329,2,,Plural,ءَابَآء,Forefathers/ Ancestors
330,2,,,زَوۡج,(Spouse) Husband/ Wife
331,2,,,رَجُل,Man
332,2,,,ٱمۡرَأة,Woman
333,2,,,ٱمۡرَأة / ٱمۡرَأت, Wife
334,2,,,ذُرِّيَّة,Offspring
335,2,,Singular,وَلَد ,Son (child)
336,2,,Plural,أَوۡلَٰد,Sons (children)
337,2,,Singular,ٱبۡن ,Son
338,2,,Plural,أَبۡنَآء,Sons
339,2,,,إِخۡوَٰن,Brothers
340,2,,Singular,وَلِيّ ,Guardian/ Supporter
341,2,,Plural,أَوۡلِيَآء,Guardians/ Supporters
342,2,,,ذَكَر,Male
343,2,,,أُنثَى,Female
344,2,,Singular,وَجۡه,Face/ Countenance
345,2,,Plural,وُجُوه,Faces
346,2,,,أَبۡصَٰر,Vision
347,2,,Singular,صَدۡر,Breast/chest
348,2,,Plural, صُدُور,Breasts/ chests
349,2,,Singular,قَلۡب ,Heart
350,2,,Plural,قُلُوب,Hearts
351,2,,Singular,نَفۡس ,Soul
352,2,,Plural,أَنفُس,Souls
353,2,,,رُوح,Spirit/ Soul
354,2,,,قُوة,Power (strength)
355,2,,,نَاس,People
356,2,,,قَوۡم,People
357,2,,Singular,أُمَّة ,Nation
358,2,,Plural,أُمَم,Nations
359,2,,,إِنسَٰن,Man (mankind)
360,2,,,مَلَأ,Eminent (chiefs)
361,2,,Singular,عَبۡد ,Servant
362,2,,Plural,عِبَاد,Servants
363,2,,Singular,عَدُو ,Enemy
364,2,,Plural,أَعۡدَآء,Enemies
365,2,,Plural,مُجۡرِمِين,Criminals
366,2,,,فَرِيق,Party 
367,2,,,فِئَة ,Party / Group
368,2,,,طَآئِفَة ,Party / Group
369,2,,, أَجۡمَعِينَ,All/ Everybody /Everyone
370,2,,, أَجۡمَعِينَ,All/ Everybody /Everyone
371,2,,,جَمِيع,All/ Everybody /Everyone
372,2,,,سَوَآء,Same/ Equal/ Straight
